POI_PK,POI_Phone,POI_Name,POI_Address
1,,Colorado State Bank Building,1600 Broadway
2,,1999 Broadway,1999 Broadway
3,,Hyatt Regency,1750 Welton St.
4,303-777-4441,Phipps Mansion,3400 Belcaro Dr.
5,303-571-4401,Museo de las Americas,861 Santa Fe Dr.
6,303-322-1053,"Denver Museum of Miniatures, Dolls and Toys",1880 Gaylord St.
7,303-322-7009,Denver Museum of Nature and Science,2001 Colorado Blvd.
8,303-260-6000,Denver Pavilions Shopping Center,500 16th St.
9,303-296-0219,El Centro Su Teatro,4725 High St.
10,303-761-0117,Fort Logan National Cemetery,3698 S. Sheridan Blvd.
11,303-866-3682,Governor's Mansion,400 E. 8th Ave.
12,303-894-2505,Grant-Humphreys Mansion,770 Pennsylvania St.
13,303-446-9207,Houston Fine Arts Center,7111 Montview Blvd.
14,303-322-7009,Imax Theatre and Gates Planetarium,2001 Colorado Blvd.
15,303-744-6883,Mayan Theater,110 Broadway St.
16,303-556-2400,Metropolitan State College of Denver,1380 Lawrence St.
17,303-458-4850,Invesco Field at Mile High Stadium,2755 W. 17th Ave.
18,303-399-2660,Mizel Arts Center,350 S. Dahlia St.
19,303-832-4092,Molly Brown House Museum,1340 Pennsylvania St.
20,303-297-1166,National Western Complex,4655 Humboldt St.
21,303-561-4450,Ocean Journey,700 Water St.
22,303-831-9448,Ogden Theatre,935 E. Colfax Ave.
23,303-388-3900,Cherry Creek Shopping Center,3000 E. 1st Ave.
24,303-825-4904,Paramount Theater,1631 Glenarm Pl.
25,303-458-4900,Regis University,3333 Regis Blvd.
26,,Richthofen Castle,7020 E. 12th Ave.
27,303-871-2336,Ritchie Events Center,2240 E. Buchtel Blvd.
28,303-866-2604,State Capitol,200 E. Colfax Ave.
29,303-572-6868,Tabor Center,"1201 16th St., Suite 120"
30,303-534-1012,Union Station,1701 Wynkoop St.
31,303-405-4761,United States Mint at Denver,320 W. Colfax Ave.
32,303-399-1859,Four Mile House and Historic Park,715 S. Forest St.
33,303-753-6046,Rocky Mountain College of Art and Design,6875 E. Evans Ave.
34,303-556-2400,University of Colorado at Denver,1250 14th St.
35,303-372-0000,University of Colorado Health Sciences Center,4200 E. 9th Ave.
36,303-871-2000,University of Denver,2199 S. University Blvd.
37,303-405-8555,Pepsi Center,1000 Chopper Pl.
38,303-342-2000,Denver International Airport,8500 Pena Blvd.
39,720-865-5000,Denver Art Museum,100 W. 14th Ave. Parkway
40,303-556-3291,Ninth Street Historic Park,1027 9th St.
41,303-861-8888,Children's Hospital,1056 E. 19th Ave.
42,303-376-4800,Denver Zoo,2300 Steele St.
43,303-433-7444,Children's Museum,2121 Childrens Museum Dr.
44,303-871-5172,Chamberlain Observatory,2390 E. Warren Ave.
45,,410 W 17th St,410 W. 17th St.
46,,World Trade Center,1625 Broadway
47,303-893-3333,Adam's Mark Hotel,1550 Court Pl.
48,,1899 Wynkoop,1899 Wynkoop St.
49,,Blake Street Terrace,1860 Blake St.
50,,Mellon Financial Center,1775 Sherman St.
51,,Lincoln Center,1660 Lincoln St.
52,,17th Street Plaza,1225 17th St.
53,,Denver Dry Building,700 16th St.
54,,Hotel Teatro,1100 14th St.
55,,One Tabor Center,1200 17th St.
56,,Columbine Place,216 16th St.
57,,Larimer Corporate Plaza,1675 Larimer St.
58,303-556-3276,Auraria Campus/Higher Education,1380 Lawrence St.
59,303-892-1436,Denver Firefighters Museum,1326 Tremont Pl.
60,303-640-2862,Denver Performing Arts Complex,950 13th St.
61,303-685-8143,Larimer Square,1430 Larimer Square
62,,Legacy Tower,700 17th St.
63,,Sakura Square,1255 19th St.
64,720-913-4900,Denver City and County Building,1435 Bannock St.
65,720-865-1111,Denver Public Library,10 W. 14th Ave. Parkway
66,,Wells Fargo Tower,621 17th St.
67,,Denver Club Building,518 17th St
68,303-595-4386,Six Flags Elitch Gardens,2000 Elitches Cir.
69,303-360-5360,Wings Over the Rockies Air and Space Museum,7711 E. Academy Blvd. (Lowry Campus)
70,,Guaranty Bank Building,805 17th St.
71,,Johns Manville Plaza,717 17th St.
72,303-292-2566,Black American West Museum and Heritage Center,3091 California St.
73,303-297-3111,Brown Palace Hotel,321 17th St.
74,303-620-4933,Byers-Evans House,1310 Bannock St.
75,303-866-3682,Colorado Historical Society and Museum,1300 Broadway
76,303-292-0200,Coors Field,2001 Blake St.
77,720-865-3500,Denver Botanic Gardens,1005 York St.
78,303-595-3800,Denver Civic Theater,721 Santa Fe Dr.
79,303-288-8000,Denver Convention Complex,700 14th St.
80,303-436-6000,Denver Health Medical Center,777 Bannock St.
81,,Denver Post Tower,1560 Broadway